,ESG,Credit Spread,Percentage,Sector
0,26.5,2.339583333333333,0.01759804689238359,3
1,26.5,6.703846153846154,0.006949936763468583,0
2,26.5,7.028571428571429,0.023127062708719708,2
3,26.5,7.427906976744185,0.003221984995395916,5
4,26.5,8.265714285714287,0.009411671766407488,1
5,26.5,11.61111111111111,0.01412835443802612,4
6,32.73833333333333,2.339583333333333,0.011720211909597942,3
7,32.73833333333333,6.703846153846154,0.008708759978409681,0
8,32.73833333333333,7.028571428571429,0.017858664660172233,2
9,32.73833333333333,7.427906976744185,0.017408028545521693,5
10,32.73833333333333,8.265714285714287,0.012620091671265952,1
11,32.73833333333333,11.61111111111111,0.006929580252660535,4
12,38.97666666666667,2.339583333333333,0.014243299091425795,3
13,38.97666666666667,6.703846153846154,0.01551232925230746,0
14,38.97666666666667,7.028571428571429,0.0018066260550628605,2
15,38.97666666666667,7.427906976744185,0.01634569061216194,5
16,38.97666666666667,8.265714285714287,0.011078559196174587,1
17,38.97666666666667,11.61111111111111,0.013523899084286268,4
18,45.215,2.339583333333333,0.07143176576190828,3
19,45.215,6.703846153846154,0.021133625935543923,0
20,45.215,7.028571428571429,0.0471186311320871,2
21,45.215,7.427906976744185,0.04811340980771465,5
22,45.215,8.265714285714287,0.07629801573481566,1
23,45.215,11.61111111111111,0.005638157261290366,4
24,51.45333333333333,2.339583333333333,0.04099485360963065,3
25,51.45333333333333,6.703846153846154,0.06717625357392427,0
26,51.45333333333333,7.028571428571429,0.0241559087412364,2
27,51.45333333333333,7.427906976744185,0.024422794041178406,5
28,51.45333333333333,8.265714285714287,0.058043100588315105,1
29,51.45333333333333,11.61111111111111,0.060908979735158075,4
30,57.69166666666666,2.339583333333333,0.022414710413520136,3
31,57.69166666666666,6.703846153846154,0.04106400419836891,0
32,57.69166666666666,7.028571428571429,0.043532758499030384,2
33,57.69166666666666,7.427906976744185,0.06450474700422859,5
34,57.69166666666666,8.265714285714287,0.007401177227671512,1
35,57.69166666666666,11.61111111111111,0.05345430886092925,4
