,ESG,Credit Spread,Percentage,Sector
0,36.93,2.339583333333333,0.015708927417880332,3
1,36.93,6.703846153846154,0.005466469234771087,0
2,36.93,7.028571428571429,0.015855197328420743,2
3,36.93,8.265714285714287,0.035309870872998375,1
4,44.3875,2.339583333333333,0.038728710284506314,3
5,44.3875,6.703846153846154,0.0010397281697761484,0
6,44.3875,7.028571428571429,0.0494725171975475,2
7,44.3875,8.265714285714287,0.03311350412229521,1
8,51.845,2.339583333333333,0.11676976916823859,3
9,51.845,6.703846153846154,0.10976869955650079,0
10,51.845,7.028571428571429,0.03985263881931193,2
11,51.845,8.265714285714287,0.12000534905878836,1
12,59.3025,2.339583333333333,0.11563660142080831,3
13,59.3025,6.703846153846154,0.09318978827843731,0
14,59.3025,7.028571428571429,0.09820457836559182,2
15,59.3025,8.265714285714287,0.11187765070412725,1
